"""
Some output from CosmicWatch1 captured in the Gemlab
"""
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
21 270.6620 88 20.96 50120 26.27
22 300.4850 57 16.93 55615 26.48
23 305.8050 172 29.49 56535 26.27
24 306.2830 71 19.06 56723 26.27
25 328.2960 241 41.39 60754 26.05
26 328.9510 63 17.91 60759 26.05
27 337.7280 385 80.11 62411 26.27
28 365.4450 124 23.92 67592 26.27
29 379.7840 568 189.84 70159 26.05
30 392.6400 30 11.83 72595 26.05
31 413.2970 29 11.66 76443 26.48
32 414.5380 224 38.29 76631 26.27
33 415.7380 35 12.75 76819 26.70
34 428.6270 271 46.93 79203 26.70
35 486.8970 92 21.32 89825 26.48
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
1 20.6310 131 24.54 4114 26.05
2 22.6910 423 97.36 4484 26.05
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
1 2.2710 28 11.49 748 26.05
2 3.3930 112 22.94 935 26.05
3 17.2930 51 15.86 3493 26.48
4 48.4920 30 11.83 9140 26.05
5 54.2340 46 14.91 10237 26.27
6 55.7280 39 13.53 10424 26.05
7 59.2570 49 15.48 11157 25.73
8 71.5110 76 19.69 13346 26.48
9 71.6270 163 28.20 13351 26.05
10 78.6820 167 28.76 14630 26.05
11 91.6370 355 68.30 17014 26.05
12 100.3560 273 47.25 18675 26.27
13 103.4270 44 14.51 19229 26.05
14 108.7450 368 72.93 20145 26.05
15 170.3460 35 12.75 31558 26.05
16 204.2150 348 65.64 37783 26.05
17 219.3880 39 13.53 40548 26.05
18 239.3010 167 28.76 44211 26.05
19 250.8500 48 15.29 46229 26.05
20 251.2510 39 13.53 46417 26.05
21 263.9660 24 10.88 48618 26.27
22 277.3170 124 23.92 51185 25.73
23 281.9680 39 13.53 51922 26.27
24 298.7440 185 31.51 55038 26.05
25 311.7890 192 32.67 57422 26.05
26 313.5710 48 15.29 57793 26.27
27 323.4610 39 13.53 59628 26.27
28 346.7490 24 10.88 63840 26.05
29 358.4800 34 12.56 66041 25.73
30 362.6120 92 21.32 66778 26.05
